job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,min_salary,max_salary,avg_salary,city,state
1,Foster and Sons,Healthcare,data analyst,"NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",Mid,Full-time,"Tracybury, AR",92860-109598,2025-08-20,Large,"KDB+, LangChain",92860.0,109598.0,101229.0,Tracybury,AR
2,"Boyd, Myers and Ramirez",Tech,computer vision engineer,"Scikit-learn, CUDA, SQL, Pandas",Senior,Full-time,"Lake Scott, CU",78523-144875,2024-03-22,Large,"FastAPI, KDB+, TensorFlow",78523.0,144875.0,111699.0,Lake Scott,CU
3,King Inc,Tech,quant researcher,"MLflow, FastAPI, Azure, PyTorch, SQL, GCP",Entry,Full-time,"East Paige, CM",124496-217204,2025-09-18,Large,"BigQuery, PyTorch, Scikit-learn",124496.0,217204.0,170850.0,East Paige,CM
4,"Cooper, Archer and Lynch",Tech,ai product manager,"Scikit-learn, C++, Pandas, LangChain, AWS, R",Mid,Full-time,"Perezview, FI",50908-123743,2024-05-08,Large,"TensorFlow, BigQuery, MLflow",50908.0,123743.0,87325.5,Perezview,FI
5,Hall LLC,Finance,data scientist,"Excel, Keras, SQL, Hugging Face",Senior,Contract,"North Desireeland, NE",98694-135413,2025-02-24,Large,"PyTorch, LangChain",98694.0,135413.0,117053.5,North Desireeland,NE
6,Ellis PLC,E-commerce,ai product manager,"GCP, Excel, Scikit-learn, MLflow",Senior,Remote,"South Kevin, TZ",92632-180718,2025-08-07,Large,"PyTorch, TensorFlow, FastAPI",92632.0,180718.0,136675.0,South Kevin,TZ
7,Matthews-Moses,Automotive,data analyst,"Python, Flask, Scikit-learn, GCP",Mid,Full-time,"West Shawn, LR",70575-88594,2024-12-23,Large,"PyTorch, MLflow",70575.0,88594.0,79584.5,West Shawn,LR
8,Mullins Ltd,Education,data scientist,"Excel, SQL, Flask",Entry,Internship,"Port Hailey, RU",63032-82144,2024-08-14,Large,BigQuery,63032.0,82144.0,72588.0,Port Hailey,RU
9,Aguilar PLC,Healthcare,ml engineer,"Pandas, LangChain, GCP, Azure",Entry,Internship,"Butlermouth, GB",134239-188504,2025-09-15,Large,"Scikit-learn, LangChain, BigQuery",134239.0,188504.0,161371.5,Butlermouth,GB
10,Parks LLC,Automotive,computer vision engineer,"Excel, Reinforcement Learning, TensorFlow",Senior,Full-time,"Nicoleshire, BA",79361-165029,2025-08-07,Large,"MLflow, TensorFlow",79361.0,165029.0,122195.0,Nicoleshire,BA
